country;country isocode;year;DD regime;DD category;Democracy;Presidential;countrycode;No. of chambers in parliament;proportional voting;Election system;No. of members in lower house;No. of members in upper house;No. of members in third house;New constitution;fullsuffrage;Suffrage restriction;electoral;Details;;;Self-governing
Afghanistan;AFG;1985;3;Civilian dictatorship;0;1;1;1;;;;;;1;1;;0;;;;
Afghanistan;AFG;1986;3;Civilian dictatorship;0;1;1;1;;;;;;0;1;;0;;;;
Afghanistan;AFG;1987;3;Civilian dictatorship;0;1;1;1;;;;;;1;1;;2;;;;
Afghanistan;AFG;1988;3;Civilian dictatorship;0;1;1;2;0;Single-member plurality;234;128;;0;1;;2;;;;
Afghanistan;AFG;1989;3;Civilian dictatorship;0;1;1;2;0;Single-member plurality;234;128;;0;1;;2;;;;
Afghanistan;AFG;1990;3;Civilian dictatorship;0;1;1;2;0;Single-member plurality;234;128;;1;1;;2;;;;
Afghanistan;AFG;1991;3;Civilian dictatorship;0;1;1;2;0;Single-member plurality;234;128;;0;1;;2;;;;
Afghanistan;AFG;1992;3;Civilian dictatorship;0;1;1;2;0;Single-member plurality;234;128;;0;1;;2;;;;
Afghanistan;AFG;1993;3;Civilian dictatorship;0;1;1;;;;;;;0;1;;0;;;;
Afghanistan;AFG;1994;3;Civilian dictatorship;0;1;1;;;;;;;0;1;;0;;;;
Afghanistan;AFG;1995;3;Civilian dictatorship;0;1;1;;;;;;;0;1;;0;;;;
Afghanistan;AFG;1996;3;Civilian dictatorship;0;1;1;;;;;;;0;1;;0;;;;
Afghanistan;AFG;1997;3;Civilian dictatorship;0;1;1;;;;;;;0;1;;0;;;;
Afghanistan;AFG;1998;3;Civilian dictatorship;0;1;1;;;;;;;0;1;;0;;;;
Afghanistan;AFG;1999;3;Civilian dictatorship;0;1;1;;;;;;;0;1;;0;;;;
Afghanistan;AFG;2000;3;Civilian dictatorship;0;1;1;;;;;;;0;1;;0;;;;
Afghanistan;AFG;2001;3;Civilian dictatorship;0;1;1;;;;;;;1;1;;0;;;;
Afghanistan;AFG;2002;3;Civilian dictatorship;0;1;1;;;;;;;0;1;;0;;;;
Afghanistan;AFG;2003;3;Civilian dictatorship;0;1;1;;;;;;;0;1;;0;;;;
Afghanistan;AFG;2004;3;Civilian dictatorship;0;1;1;;;;;;;1;1;;0;;;;
Afghanistan;AFG;2005;3;Civilian dictatorship;0;1;1;;;;;;;0;1;;0;;;;
Afghanistan;AFG;2006;3;Civilian dictatorship;0;1;1;2;0;SNTV;249;102;;0;1;;2;;;;
Afghanistan;AFG;2007;3;Civilian dictatorship;0;1;1;2;0;SNTV;249;102;;0;1;;2;;;;
Afghanistan;AFG;2008;3;Civilian dictatorship;0;1;1;2;0;SNTV;249;102;;0;1;;2;;;;
Afghanistan;AFG;2009;3;Civilian dictatorship;0;1;1;2;0;SNTV;249;102;;0;1;;2;;;;
Afghanistan;AFG;2010;3;Civilian dictatorship;0;1;1;2;0;SNTV;249;102;;0;1;;2;;;;
Afghanistan;AFG;2011;3;Civilian dictatorship;0;1;1;2;0;SNTV;249;102;;0;1;;2;;;;
Afghanistan;AFG;2012;3;Civilian dictatorship;0;1;1;2;0;SNTV;249;102;;0;1;;2;;;;
Afghanistan;AFG;2013;3;Civilian dictatorship;0;1;1;2;0;SNTV;249;102;;0;1;;2;;;;
Afghanistan;AFG;2014;3;Civilian dictatorship;0;1;1;2;0;SNTV;249;102;;0;1;;2;;;;
Afghanistan;AFG;2015;3;Civilian dictatorship;0;1;1;2;0;SNTV;249;102;;0;1;;2;;;;
Afghanistan;AFG;2016;3;Civilian dictatorship;0;1;1;2;0;SNTV;249;102;;0;1;;2;;;;
Afghanistan;AFG;2017;3;Civilian dictatorship;0;1;1;2;0;SNTV;249;102;;0;1;;2;;;;
Afghanistan;AFG;2018;3;Civilian dictatorship;0;1;1;2;0;SNTV;249;102;;0;1;;2;;;;
Afghanistan;AFG;2019;3;Civilian dictatorship;0;;;;;;;;;;1;;2;;;;
Afghanistan;AFG;2020;3;Civilian dictatorship;0;;;;;;;;;;1;;2;;;;
Albania;ALB;1950;4;Military dictatorship;0;0;2;1;0;Single-member constituency;121;;;0;1;;1;;;;
Albania;ALB;1951;4;Military dictatorship;0;0;2;1;0;Single-member constituency;121;;;0;1;;1;;;;
Albania;ALB;1952;4;Military dictatorship;0;0;2;1;0;Single-member constituency;121;;;0;1;;1;;;;
Albania;ALB;1953;4;Military dictatorship;0;0;2;1;0;Single-member constituency;121;;;0;1;;1;;;;
Albania;ALB;1954;4;Military dictatorship;0;0;2;1;0;Single-member constituency;134;;;0;1;;1;;;;
Albania;ALB;1955;4;Military dictatorship;0;0;2;1;0;Single-member constituency;134;;;0;1;;1;;;;
Albania;ALB;1956;4;Military dictatorship;0;0;2;1;0;Single-member constituency;134;;;0;1;;1;;;;
Albania;ALB;1957;4;Military dictatorship;0;0;2;1;0;Single-member constituency;134;;;0;1;;1;;;;
Albania;ALB;1958;4;Military dictatorship;0;0;2;1;0;Single-member constituency;188;;;0;1;;1;;;;
Albania;ALB;1959;4;Military dictatorship;0;0;2;1;0;Single-member constituency;188;;;0;1;;1;;;;
Albania;ALB;1960;4;Military dictatorship;0;0;2;1;0;Single-member constituency;188;;;0;1;;1;;;;
Albania;ALB;1961;4;Military dictatorship;0;0;2;1;0;Single-member constituency;188;;;0;1;;1;;;;
Albania;ALB;1962;4;Military dictatorship;0;0;2;1;0;Single-member constituency;214;;;0;1;;1;;;;
Albania;ALB;1963;4;Military dictatorship;0;0;2;1;0;Single-member constituency;214;;;0;1;;1;;;;
Albania;ALB;1964;4;Military dictatorship;0;0;2;1;0;Single-member constituency;214;;;0;1;;1;;;;
Albania;ALB;1965;4;Military dictatorship;0;0;2;1;0;Single-member constituency;214;;;0;1;;1;;;;
Albania;ALB;1966;4;Military dictatorship;0;0;2;1;0;Single-member constituency;214;;;0;1;;1;;;;
Albania;ALB;1967;4;Military dictatorship;0;0;2;1;0;Single-member constituency;240;;;0;1;;1;;;;
Albania;ALB;1968;4;Military dictatorship;0;0;2;1;0;Single-member constituency;240;;;0;1;;1;;;;
Albania;ALB;1969;4;Military dictatorship;0;0;2;1;0;Single-member constituency;240;;;0;1;;1;;;;
Albania;ALB;1970;4;Military dictatorship;0;0;2;1;0;Single-member constituency;240;;;0;1;;1;;;;
Albania;ALB;1971;4;Military dictatorship;0;0;2;1;0;Single-member constituency;264;;;0;1;;1;;;;
Albania;ALB;1972;4;Military dictatorship;0;0;2;1;0;Single-member constituency;264;;;0;1;;1;;;;
Albania;ALB;1973;4;Military dictatorship;0;0;2;1;0;Single-member constituency;264;;;0;1;;1;;;;
Albania;ALB;1974;4;Military dictatorship;0;0;2;1;0;Single-member constituency;264;;;0;1;;1;;;;
Albania;ALB;1975;4;Military dictatorship;0;0;2;1;0;Single-member constituency;250;;;0;1;;1;;;;
Albania;ALB;1976;4;Military dictatorship;0;0;2;1;0;;250;;;1;1;;1;;;;
Albania;ALB;1977;4;Military dictatorship;0;0;2;1;0;;250;;;0;1;;1;;;;
Albania;ALB;1978;4;Military dictatorship;0;0;2;1;0;;250;;;0;1;;1;;;;
Albania;ALB;1979;4;Military dictatorship;0;0;2;1;0;;250;;;0;1;;1;;;;
Albania;ALB;1980;4;Military dictatorship;0;0;2;1;0;;250;;;0;1;;1;;;;
Albania;ALB;1981;4;Military dictatorship;0;0;2;1;0;;250;;;0;1;;1;;;;
Albania;ALB;1982;4;Military dictatorship;0;0;2;1;0;;250;;;0;1;;1;;;;
Albania;ALB;1983;4;Military dictatorship;0;0;2;1;0;;250;;;0;1;;1;;;;
Albania;ALB;1984;4;Military dictatorship;0;0;2;1;0;;250;;;0;1;;1;;;;
Albania;ALB;1985;3;Civilian dictatorship;0;0;2;1;0;;250;;;0;1;;1;;;;
Albania;ALB;1986;3;Civilian dictatorship;0;0;2;1;0;;250;;;0;1;;1;;;;
Albania;ALB;1987;3;Civilian dictatorship;0;0;2;1;0;;250;;;0;1;;1;;;;
Albania;ALB;1988;3;Civilian dictatorship;0;0;2;1;0;;250;;;0;1;;1;;;;
Albania;ALB;1989;3;Civilian dictatorship;0;0;2;1;0;;250;;;0;1;;1;;;;
Albania;ALB;1990;3;Civilian dictatorship;0;0;2;1;0;;250;;;0;1;;1;;;;
Albania;ALB;1991;3;Civilian dictatorship;0;0;2;1;0;;250;;;1;1;;2;;;;
Albania;ALB;1992;0;Parliamentary democracy;1;0;2;1;0;;140;;;0;1;;3;;;;
Albania;ALB;1993;0;Parliamentary democracy;1;0;2;1;0;Mixed-member SMD/PR;140;;;0;1;;3;;;;
Albania;ALB;1994;0;Parliamentary democracy;1;0;2;1;0;;140;;;0;1;;3;;;;
Albania;ALB;1995;0;Parliamentary democracy;1;0;2;1;0;;140;;;0;1;;3;;;;
Albania;ALB;1996;3;Civilian dictatorship;0;0;2;1;0;;140;;;0;1;;2;;;;
Albania;ALB;1997;0;Parliamentary democracy;1;0;2;1;0;Parallel SMD/PR;155;;;0;1;;3;;;;
Albania;ALB;1998;0;Parliamentary democracy;1;0;2;1;0;Parallel SMD/PR;155;;;1;1;;3;;;;
Albania;ALB;1999;0;Parliamentary democracy;1;0;2;1;0;;155;;;0;1;;3;;;;
Albania;ALB;2000;0;Parliamentary democracy;1;0;2;1;0;;155;;;0;1;;3;;;;
Albania;ALB;2001;0;Parliamentary democracy;1;0;2;1;0;;155;;;0;1;;3;;;;
Albania;ALB;2002;0;Parliamentary democracy;1;0;2;1;0;Mixed-member SMD/PR;140;;;0;1;;3;;;;
Albania;ALB;2003;0;Parliamentary democracy;1;0;2;1;0;;140;;;0;1;;3;;;;
Albania;ALB;2004;0;Parliamentary democracy;1;0;2;1;0;;140;;;0;1;;3;;;;
Albania;ALB;2005;0;Parliamentary democracy;1;0;2;1;0;;140;;;0;1;;3;;;;
Albania;ALB;2006;0;Parliamentary democracy;1;0;2;1;0;Mixed-member SMD/PR;140;;;0;1;;3;;;;
Albania;ALB;2007;0;Parliamentary democracy;1;0;2;1;0;;140;;;0;1;;3;;;;
Albania;ALB;2008;0;Parliamentary democracy;1;0;2;1;0;;140;;;0;1;;3;;;;
Albania;ALB;2009;0;Parliamentary democracy;1;0;2;1;1;;140;;;0;1;;3;;;;
Albania;ALB;2010;0;Parliamentary democracy;1;0;2;1;1;List P (large multi-member) ;140;;;0;1;;3;;;;
Albania;ALB;2011;0;Parliamentary democracy;1;0;2;1;1;;140;;;0;1;;3;;;;
Albania;ALB;2012;0;Parliamentary democracy;1;0;2;1;1;;140;;;0;1;;3;;;;
Albania;ALB;2013;0;Parliamentary democracy;1;0;2;1;1;;140;;;0;1;;3;;;;
Albania;ALB;2014;0;Parliamentary democracy;1;0;2;1;1;;140;;;0;1;;3;;;;
Albania;ALB;2015;0;Parliamentary democracy;1;0;2;1;1;d'Hondt;140;;;0;1;;3;;;;
Albania;ALB;2016;0;Parliamentary democracy;1;0;2;1;1;d'Hondt;140;;;0;1;;3;;;;
Albania;ALB;2017;0;Parliamentary democracy;1;0;2;1;1;d'Hondt;140;;;0;1;;3;;;;
Albania;ALB;2018;0;Parliamentary democracy;1;0;2;1;1;d'Hondt;140;;;0;1;;3;;;;
Albania;ALB;2019;0;Parliamentary democracy;1;;;;;;;;;;1;;3;;;;
Albania;ALB;2020;0;Parliamentary democracy;1;;;;;;;;;;1;;3;;;;
Algeria;DZA;1950;;French Overseas Territory;0;0;3;1;0;Simple majority constituency;120;;;0;0;Male vote only;2;Assemblee Algerien: 60 Europeans, 60 Algerians elected on separate rolls;;;0
Algeria;DZA;1951;;French Overseas Territory;0;0;3;1;0;Simple majority constituency;120;;;0;0;Male vote only;2;Assemblee Algerien: 60 Europeans, 60 Algerians elected on separate rolls;;;0
Algeria;DZA;1952;;French Overseas Territory;0;0;3;1;0;Simple majority constituency;120;;;0;0;Male vote only;2;Assemblee Algerien: 60 Europeans, 60 Algerians elected on separate rolls;;;0
Algeria;DZA;1953;;French Overseas Territory;0;0;3;1;0;Simple majority constituency;120;;;0;0;Male vote only;2;Assemblee Algerien: 60 Europeans, 60 Algerians elected on separate rolls;;;0
Algeria;DZA;1954;;French Overseas Territory;0;0;3;1;0;Simple majority constituency;120;;;0;0;Male vote only;2;Assemblee Algerien: 60 Europeans, 60 Algerians elected on separate rolls;;;0
Algeria;DZA;1955;;French Overseas Territory;0;0;3;1;0;Simple majority constituency;120;;;0;0;Male vote only;2;Assemblee Algerien: 60 Europeans, 60 Algerians elected on separate rolls;;;0
Algeria;DZA;1956;;French Overseas Territory;0;0;3;1;0;Simple majority constituency;120;;;0;0;Male vote only;2;Assemblee Algerien: 60 Europeans, 60 Algerians elected on separate rolls;;;0
Algeria;DZA;1957;;French Overseas Territory;0;0;3;;;;;;;0;0;Male vote only;0;;;;0
Algeria;DZA;1958;;French Overseas Territory;0;0;3;;;;;;;0;0;Male vote only;0;;;;0
Algeria;DZA;1959;;French Overseas Territory;0;0;3;;;;;;;0;0;Male vote only;0;;;;0
Algeria;DZA;1960;;French Overseas Territory;0;0;3;;;;;;;0;0;Male vote only;0;;;;0
Algeria;DZA;1961;;French Overseas Territory;0;0;3;;;;;;;0;0;Male vote only;0;;;;0
Algeria;DZA;1962;;French Overseas Territory;0;0;3;1;0;Simple majority constituency;196;;;0;0;Male vote only;2;;;;0
Algeria;DZA;1963;3;Civilian dictatorship;0;1;3;1;0;Simple majority constituency;196;;;1;1;;2;;;;
Algeria;DZA;1964;3;Civilian dictatorship;0;1;3;1;0;Simple majority constituency;196;;;0;1;;2;;;;
Algeria;DZA;1965;4;Military dictatorship;0;1;3;;;;;;;0;1;;0;;;;
Algeria;DZA;1966;4;Military dictatorship;0;1;3;;;;;;;0;1;;0;;;;
Algeria;DZA;1967;4;Military dictatorship;0;1;3;;;;;;;0;1;;0;;;;
Algeria;DZA;1968;4;Military dictatorship;0;1;3;;;;;;;0;1;;0;;;;
Algeria;DZA;1969;4;Military dictatorship;0;1;3;;;;;;;0;1;;0;;;;
Algeria;DZA;1970;4;Military dictatorship;0;1;3;;;;;;;0;1;;0;;;;
Algeria;DZA;1971;4;Military dictatorship;0;1;3;;;;;;;0;1;;0;;;;
Algeria;DZA;1972;4;Military dictatorship;0;1;3;;;;;;;0;1;;0;;;;
Algeria;DZA;1973;4;Military dictatorship;0;1;3;;;;;;;0;1;;0;;;;
Algeria;DZA;1974;4;Military dictatorship;0;1;3;;;;;;;0;1;;0;;;;
Algeria;DZA;1975;4;Military dictatorship;0;1;3;;;;;;;1;1;;0;;;;
Algeria;DZA;1976;4;Military dictatorship;0;1;3;;;;;;;0;1;;1;;;;
Algeria;DZA;1977;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;261;;;0;1;;1;;;;
Algeria;DZA;1978;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;261;;;0;1;;1;;;;
Algeria;DZA;1979;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;261;;;0;1;;1;;;;
Algeria;DZA;1980;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;261;;;0;1;;1;;;;
Algeria;DZA;1981;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;261;;;0;1;;1;;;;
Algeria;DZA;1982;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;282;;;0;1;;1;;;;
Algeria;DZA;1983;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;282;;;0;1;;1;;;;
Algeria;DZA;1984;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;282;;;0;1;;1;;;;
Algeria;DZA;1985;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;282;;;0;1;;1;;;;
Algeria;DZA;1986;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;282;;;0;1;;1;;;;
Algeria;DZA;1987;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;295;;;0;1;;1;;;;
Algeria;DZA;1988;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;295;;;0;1;;1;;;;
Algeria;DZA;1989;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;295;;;1;1;;1;;;;
Algeria;DZA;1990;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;295;;;0;1;;1;;;;
Algeria;DZA;1991;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;295;;;0;1;;1;;;;
Algeria;DZA;1992;4;Military dictatorship;0;1;3;1;0;Simple majority constituency;295;;;0;1;;0;;;;
Algeria;DZA;1993;4;Military dictatorship;0;1;3;;;;;;;0;1;;0;;;;
Algeria;DZA;1994;4;Military dictatorship;0;1;3;1;1;PR Hare quota;231;;;0;1;;0;;;;
Algeria;DZA;1995;4;Military dictatorship;0;1;3;1;1;PR Hare quota;231;;;0;1;;0;;;;
Algeria;DZA;1996;4;Military dictatorship;0;1;3;1;1;PR Hare quota;231;;;0;1;;0;;;;
Algeria;DZA;1997;4;Military dictatorship;0;1;3;2;1;PR Hare quota;231;144;;0;1;;2;;;;
Algeria;DZA;1998;4;Military dictatorship;0;1;3;2;1;PR Hare quota;231;144;;0;1;;2;;;;
Algeria;DZA;1999;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;231;144;;0;1;;2;;;;
Algeria;DZA;2000;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;231;144;;0;1;;2;;;;
Algeria;DZA;2001;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;231;144;;0;1;;2;;;;
Algeria;DZA;2002;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;380;144;;0;1;;2;;;;
Algeria;DZA;2003;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;380;144;;0;1;;2;;;;
Algeria;DZA;2004;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;380;144;;0;1;;2;;;;
Algeria;DZA;2005;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;380;144;;0;1;;2;;;;
Algeria;DZA;2006;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;380;144;;0;1;;2;;;;
Algeria;DZA;2007;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;380;144;;0;1;;2;;;;
Algeria;DZA;2008;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;380;144;;0;1;;2;;;;
Algeria;DZA;2009;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;380;144;;0;1;;2;;;;
Algeria;DZA;2010;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;380;144;;0;1;;2;;;;
Algeria;DZA;2011;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;380;144;;0;1;;2;;;;
Algeria;DZA;2012;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;462;144;;0;1;;2;;;;
Algeria;DZA;2013;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;462;144;;0;1;;2;;;;
Algeria;DZA;2014;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;462;144;;0;1;;2;;;;
Algeria;DZA;2015;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;462;144;;0;1;;2;;;;
Algeria;DZA;2016;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;462;144;;0;1;;2;;;;
Algeria;DZA;2017;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;462;144;;0;1;;2;;;;
Algeria;DZA;2018;3;Civilian dictatorship;0;1;3;2;1;PR Hare quota;462;144;;0;1;;2;;;;
Algeria;DZA;2019;3;Civilian dictatorship;0;;;;;;;;;;1;;2;;;;
Algeria;DZA;2020;3;Civilian dictatorship;0;;;;;;;;;;1;;2;;;;
Angola;AGO;1950;;Colony;0;0;4;;;;;;;0;;;0;;;;0
Angola;AGO;1951;;Colony;0;0;4;;;;;;;0;;;0;;;;0
Angola;AGO;1952;;Colony;0;0;4;;;;;;;0;;;0;;;;0
Angola;AGO;1953;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1954;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1955;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1956;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1957;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1958;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1959;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1960;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1961;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1962;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1963;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1964;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1965;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1966;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1967;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1968;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1969;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1970;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1971;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1972;;Colony;0;0;4;;;;;;;0;;;2;Legislative Council;;;0
Angola;AGO;1973;;Colony;0;0;4;1;;;53;;;0;0;Ethnic stratification;2;Legislative Assembly: 32 elected, 21 nominated members;;;1
Angola;AGO;1974;;Colony;0;0;4;1;;;53;;;0;0;Ethnic stratification;2;Legislative Assembly: 32 elected, 21 nominated members;;;1
Angola;AGO;1975;;Colony;0;0;4;1;;;53;;;1;1;;2;Legislative Assembly: 32 elected, 21 nominated members;;;1
Angola;AGO;1976;3;Civilian dictatorship;0;1;4;1;;;;;;0;1;;0;;;;
Angola;AGO;1977;3;Civilian dictatorship;0;1;4;1;;;;;;0;1;;0;;;;
Angola;AGO;1978;3;Civilian dictatorship;0;1;4;1;;;;;;0;1;;0;;;;
Angola;AGO;1979;3;Civilian dictatorship;0;1;4;1;;;;;;0;1;;0;;;;
Angola;AGO;1980;3;Civilian dictatorship;0;1;4;1;;;;;;0;1;;0;;;;
Angola;AGO;1981;3;Civilian dictatorship;0;1;4;1;;;229;;;0;1;;1;;;;
Angola;AGO;1982;3;Civilian dictatorship;0;1;4;1;;;229;;;0;1;;1;;;;
Angola;AGO;1983;3;Civilian dictatorship;0;1;4;1;;;229;;;0;1;;1;;;;
Angola;AGO;1984;3;Civilian dictatorship;0;1;4;1;;;229;;;0;1;;1;;;;
Angola;AGO;1985;3;Civilian dictatorship;0;1;4;1;;;229;;;0;1;;1;;;;
Angola;AGO;1986;3;Civilian dictatorship;0;1;4;1;;;229;;;0;1;;1;;;;
Angola;AGO;1987;3;Civilian dictatorship;0;1;4;1;;;289;;;0;1;;1;;;;
Angola;AGO;1988;3;Civilian dictatorship;0;1;4;1;;;289;;;0;1;;1;;;;
Angola;AGO;1989;3;Civilian dictatorship;0;1;4;1;;;289;;;0;1;;1;;;;
Angola;AGO;1990;3;Civilian dictatorship;0;1;4;1;;;289;;;0;1;;1;;;;
Angola;AGO;1991;3;Civilian dictatorship;0;1;4;1;;;289;;;0;1;;1;;;;
Angola;AGO;1992;3;Civilian dictatorship;0;1;4;1;;;289;;;0;1;;1;;;;
Angola;AGO;1993;3;Civilian dictatorship;0;1;4;1;1;d'Hondt;220;;;0;1;;2;;;;
Angola;AGO;1994;3;Civilian dictatorship;0;1;4;1;;;;;;0;1;;2;;;;
Angola;AGO;1995;3;Civilian dictatorship;0;1;4;1;;;;;;0;1;;2;;;;
