country;country isocode;year;DD regime;DD category;;Monarchy;Commonwealth;Monarch name;Monarch accession;Monarch birthyear;"Female monarch (0: No; 1: Yes)";Democracy;Presidential;President name;President accesion;President birthyear;Interim phase (more than 2 Presidents/year=1);"Female president (0: No; 1: Yes)";Colony;Colony of;Colony administrated by;Communist;Regime change lag;;;spatial democracy;;countrycode;;No. of chambers in parliament;proportional voting;Election system;No. of members in lower house;No. of members in upper house;No. of members in third house;New constitution;fullsuffrage;Suffrage restriction;electoral;;spatial electoral;;alternation;multiparty;free and fair election;;parliamentary election year;election month, year;postponed election;
Afghanistan;AFG;1969;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;0;Single-member plurality;216;84;;0;1;;2;;1;;0;1;0;;0;;0;
Afghanistan;AFG;1970;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;0;Single-member plurality;216;84;;0;1;;2;;1;;0;1;0;;1;August-September 1969;0;
Afghanistan;AFG;1971;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;0;Single-member plurality;216;84;;0;1;;2;;1,5;;0;1;0;;0;;0;
Afghanistan;AFG;1972;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;0;Single-member plurality;216;84;;0;1;;2;;1;;0;1;0;;0;;0;
Afghanistan;AFG;1973;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0,25;;1;;2;0;Single-member plurality;216;84;;1;1;;2;;1,75;;0;1;0;;0;;0;
Afghanistan;AFG;1974;3;Civilian dictatorship;;0;0;;;;;0;1;Sardar Mohammad Daud Khan;1973;1909;0;0;0;;;0;1;;;0,25;;1;;;;;;;;0;1;;0;;1,75;;0;0;0;;0;;0;
Afghanistan;AFG;1975;3;Civilian dictatorship;;0;0;;;;;0;1;Sardar Mohammad Daud Khan;1973;1909;0;0;0;;;0;0;;;0,25;;1;;;;;;;;0;1;;0;;1,5;;0;0;0;;0;;0;
Afghanistan;AFG;1976;3;Civilian dictatorship;;0;0;;;;;0;1;Sardar Mohammad Daud Khan;1973;1909;0;0;0;;;0;0;;;0,25;;1;;;;;;;;0;1;;0;;1,5;;0;0;0;;0;;0;
Afghanistan;AFG;1977;3;Civilian dictatorship;;0;0;;;;;0;1;Sardar Mohammad Daud Khan;1973;1909;0;0;0;;;0;0;;;0,25;;1;;;;;;;;1;1;;0;;1,5;;0;0;0;;0;;0;
Afghanistan;AFG;1978;3;Civilian dictatorship;;0;0;;;;;0;1;Nur Mohammed Taraki;1978;1917;1;0;0;;;1;0;;;0;;1;;1;;;;;;1;1;;0;;0,75;;0;0;0;;0;;0;
Afghanistan;AFG;1979;3;Civilian dictatorship;;0;0;;;;;0;1;Nur Mohammed Taraki;1978;1917;1;0;0;;;1;0;;;0;;1;;1;;;;;;1;1;;0;;0,5;;0;0;0;;0;;0;
Afghanistan;AFG;1980;3;Civilian dictatorship;;0;0;;;;;0;1;Babrak Karmal;1979;1929;0;0;0;;;1;0;;;0;;1;;1;;;;;;1;1;;0;;1;;0;0;0;;0;;0;
Afghanistan;AFG;1981;3;Civilian dictatorship;;0;0;;;;;0;1;Babrak Karmal;1979;1929;0;0;0;;;1;0;;;0;;1;;1;;;;;;0;1;;0;;1;;0;0;0;;0;;0;
Afghanistan;AFG;1982;3;Civilian dictatorship;;0;0;;;;;0;1;Babrak Karmal;1979;1929;0;0;0;;;1;0;;;0;;1;;1;;;;;;0;1;;0;;1;;0;0;0;;0;;0;
Afghanistan;AFG;1983;3;Civilian dictatorship;;0;0;;;;;0;1;Babrak Karmal;1979;1929;0;0;0;;;1;0;;;0;;1;;1;;;;;;0;1;;0;;1;;0;0;0;;0;;0;
Afghanistan;AFG;1984;3;Civilian dictatorship;;0;0;;;;;0;1;Babrak Karmal;1979;1929;0;0;0;;;1;0;;;0;;1;;1;;;;;;0;1;;0;;1;;0;0;0;;0;;0;
Afghanistan;AFG;1985;3;Civilian dictatorship;;0;0;;;;;0;1;Babrak Karmal;1979;1929;0;0;0;;;1;0;;;0;;1;;1;;;;;;1;1;;0;;1,5;;0;0;0;;0;;0;
Afghanistan;AFG;1986;3;Civilian dictatorship;;0;0;;;;;0;1;Babrak Karmal;1979;1929;0;0;0;;;1;0;;;0;;1;;1;;;;;;0;1;;0;;1,5;;0;0;0;;0;;0;
Afghanistan;AFG;1987;3;Civilian dictatorship;;0;0;;;;;0;1;Haji Mohammed Chamkani;1986;1947;0;0;0;;;1;0;;;0;;1;;1;;;;;;1;1;;2;;1,5;;0;1;0;;0;;0;
Afghanistan;AFG;1988;3;Civilian dictatorship;;0;0;;;;;0;1;Najibullah Ahmaszai;1987;1947;0;0;0;;;1;0;;;0,25;;1;;2;0;Single-member plurality;234;128;;0;1;;2;;1,75;;0;1;0;;1;April 1988;0;
Afghanistan;AFG;1989;3;Civilian dictatorship;;0;0;;;;;0;1;Najibullah Ahmaszai;1987;1947;0;0;0;;;1;0;;;0,25;;1;;2;0;Single-member plurality;234;128;;0;1;;2;;1,75;;0;1;0;;0;;0;
Afghanistan;AFG;1990;3;Civilian dictatorship;;0;0;;;;;0;1;Najibullah Ahmaszai;1987;1947;0;0;0;;;1;0;;;0,25;;1;;2;0;Single-member plurality;234;128;;1;1;;2;;1,75;;0;1;0;;0;;0;
Afghanistan;AFG;1991;3;Civilian dictatorship;;0;0;;;;;0;1;Najibullah Ahmaszai;1987;1947;0;0;0;;;1;0;;;0,25;;1;;2;0;Single-member plurality;234;128;;0;1;;2;;1,75;;0;1;0;;0;;0;
Afghanistan;AFG;1992;3;Civilian dictatorship;;0;0;;;;;0;1;Burhanuddin Rabbani;1992;1940;1;0;0;;;0;0;;;0,25;;1;;2;0;Single-member plurality;234;128;;0;1;;2;;1,5;;0;1;0;;0;;0;
Afghanistan;AFG;1993;3;Civilian dictatorship;;0;0;;;;;0;1;Burhanuddin Rabbani;1992;1940;0;0;0;;;0;0;;;0,25;;1;;;;;;;;0;1;;0;;1,5;;0;0;0;;0;;0;
Afghanistan;AFG;1994;3;Civilian dictatorship;;0;0;;;;;0;1;Burhanuddin Rabbani;1992;1940;0;0;0;;;0;0;;;0,25;;1;;;;;;;;0;1;;0;;1,5;;0;0;0;;0;;0;
Afghanistan;AFG;1995;3;Civilian dictatorship;;0;0;;;;;0;1;Burhanuddin Rabbani;1992;1940;0;0;0;;;0;0;;;0,25;;1;;;;;;;;0;1;;0;;1,75;;0;0;0;;0;;0;
Afghanistan;AFG;1996;3;Civilian dictatorship;;0;0;;;;;0;1;Burhanuddin Rabbani;1992;1940;0;0;0;;;0;0;;;0,25;;1;;;;;;;;0;1;;0;;2;;0;0;0;;0;;0;
Afghanistan;AFG;1997;3;Civilian dictatorship;;0;0;;;;;0;1;Mohammad Omar;1996;1959;0;0;0;;;0;0;;;0,25;;1;;;;;;;;0;1;;0;;2;;0;0;0;;0;;0;
Afghanistan;AFG;1998;3;Civilian dictatorship;;0;0;;;;;0;1;Mohammad Omar;1996;1959;0;0;0;;;0;0;;;0,25;;1;;;;;;;;0;1;;0;;2;;0;0;0;;0;;0;
Afghanistan;AFG;1999;3;Civilian dictatorship;;0;0;;;;;0;1;Mohammad Omar;1996;1959;0;0;0;;;0;0;;;0,25;;1;;;;;;;;0;1;;0;;2;;0;0;0;;0;;0;
Afghanistan;AFG;2000;3;Civilian dictatorship;;0;0;;;;;0;1;Mohammad Omar;1996;1959;0;0;0;;;0;0;;;0;;1;;;;;;;;0;1;;0;;1,25;;0;0;0;;0;;0;
Afghanistan;AFG;2001;3;Civilian dictatorship;;0;0;;;;;0;1;Mohammad Omar;1996;1959;1;0;0;;;0;0;;;0;;1;;;;;;;;1;1;;0;;1,25;;0;0;0;;0;;0;
Afghanistan;AFG;2002;3;Civilian dictatorship;;0;0;;;;;0;1;Hamid Karzai;2001;1957;0;0;0;;;0;0;;;0;;1;;;;;;;;0;1;;0;;1,25;;0;0;0;;0;;0;
Afghanistan;AFG;2003;3;Civilian dictatorship;;0;0;;;;;0;1;Hamid Karzai;2001;1957;0;0;0;;;0;0;;;0;;1;;;;;;;;0;1;;0;;1,75;;0;0;0;;0;;0;
Afghanistan;AFG;2004;3;Civilian dictatorship;;0;0;;;;;0;1;Hamid Karzai;2001;1957;0;0;0;;;0;0;;;0;;1;;;;;;;;1;1;;0;;1,5;;0;0;0;;0;;0;
Afghanistan;AFG;2005;3;Civilian dictatorship;;0;0;;;;;0;1;Hamid Karzai;2001;1957;0;0;0;;;0;0;;;0;;1;;;;;;;;0;1;;0;;1,5;;0;0;0;;0;;0;
Afghanistan;AFG;2006;3;Civilian dictatorship;;0;0;;;;;0;1;Hamid Karzai;2001;1957;0;0;0;;;0;0;;;0;;1;;2;0;SNTV;249;102;;0;1;;2;;1,5;;0;1;0;;1;September 2005;0;
Afghanistan;AFG;2007;3;Civilian dictatorship;;0;0;;;;;0;1;Hamid Karzai;2001;1957;0;0;0;;;0;0;;;0;;1;;2;0;SNTV;249;102;;0;1;;2;;1,5;;0;1;0;;0;;0;
Afghanistan;AFG;2008;3;Civilian dictatorship;;0;0;;;;;0;1;Hamid Karzai;2001;1957;0;0;0;;;0;0;;;0,25;;1;;2;0;SNTV;249;102;;0;1;;2;;1,75;;0;1;0;;0;;0;
Afghanistan;AFG;2009;3;Civilian dictatorship;;0;0;;;;;0;1;Hamid Karzai;2001;1957;0;0;0;;;0;0;;;0,25;;1;;2;0;SNTV;249;102;;0;1;;2;;1,75;;0;1;0;;0;;0;
Afghanistan;AFG;2010;3;Civilian dictatorship;;0;0;;;;;0;1;Hamid Karzai;2001;1957;0;0;0;;;0;0;;;0,25;;1;;2;0;SNTV;249;102;;0;1;;2;;1,75;;0;1;0;;0;;0;
Afghanistan;AFG;2011;3;Civilian dictatorship;;0;0;;;;;0;1;Hamid Karzai;2001;1957;0;0;0;;;0;0;;;0,25;;1;;2;0;SNTV;249;102;;0;1;;2;;1,75;;0;1;0;;1;September 2010;1;
Afghanistan;AFG;2012;3;Civilian dictatorship;;0;0;;;;;0;1;Hamid Karzai;2001;1957;0;0;0;;;0;0;;;0,25;;1;;2;0;SNTV;249;102;;0;1;;2;;1,75;;0;1;0;;0;;0;
Afghanistan;AFG;2013;3;Civilian dictatorship;;0;0;;;;;0;1;Hamid Karzai;2001;1957;0;0;0;;;0;0;;;0,25;;1;;2;0;SNTV;249;102;;0;1;;2;;1,75;;0;1;0;;0;;0;
Afghanistan;AFG;2014;3;Civilian dictatorship;;0;0;;;;;0;1;Hamid Karzai;2001;1957;0;0;0;;;0;0;;;0,25;;1;;2;0;SNTV;249;102;;0;1;;2;;2;;0;1;0;;0;;0;
Afghanistan;AFG;2015;3;Civilian dictatorship;;0;0;;;;;0;1;Ashraf Ghani;2014;1949;0;0;0;;;0;0;;;0,25;;1;;2;0;SNTV;249;102;;0;1;;2;;2;;0;1;0;;0;;0;
Afghanistan;AFG;2016;3;Civilian dictatorship;;0;0;;;;;0;1;Ashraf Ghani;2014;1949;0;0;0;;;0;0;;;0,25;;1;;2;0;SNTV;249;102;;0;1;;2;;2;;0;1;0;;0;;0;
Afghanistan;AFG;2017;3;Civilian dictatorship;;0;0;;;;;0;1;Ashraf Ghani;2014;1949;0;0;0;;;0;0;;;0,25;;1;;2;0;SNTV;249;102;;0;1;;2;;2;;0;1;0;;0;;0;
Afghanistan;AFG;2018;3;Civilian dictatorship;;0;0;;;;;0;1;Ashraf Ghani;2014;1949;0;0;0;;;0;0;;;0,25;;1;;2;0;SNTV;249;102;;0;1;;2;;2;;0;1;0;;0;;0;
Afghanistan;AFG;2019;3;Civilian dictatorship;;0;0;;;;;0;1;Ashraf Ghani;2014;1949;0;0;0;;;0;0;;;0,25;;1;;2;0;SNTV;249;102;;0;1;;2;;2;;0;1;0;;1;October 2018;1;
Afghanistan;AFG;2020;3;Civilian dictatorship;;0;0;;;;;0;1;Ashraf Ghani;2014;1949;0;0;0;;;0;0;;;0,25;;1;;2;0;SNTV;249;102;;0;1;;2;;2;;0;1;0;;0;;0;
Albania;ALB;1950;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;121;;;0;1;;1;;1,8;;0;0;0;;1;May 1950;0;
Albania;ALB;1951;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;121;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1952;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;121;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1953;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;121;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1954;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;134;;;0;1;;1;;1,8;;0;0;0;;1;May 1954;0;
Albania;ALB;1955;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;134;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1956;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;134;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1957;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;134;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1958;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;188;;;0;1;;1;;1,8;;0;0;0;;1;June 1958;0;
Albania;ALB;1959;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;188;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1960;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;188;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1961;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;188;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1962;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;214;;;0;1;;1;;1,8;;0;0;0;;1;June 1962;0;
Albania;ALB;1963;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;214;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1964;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;214;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1965;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;214;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1966;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;214;;;0;1;;1;;1,8;;0;0;0;;1;June 1966;0;
Albania;ALB;1967;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,2;;2;;1;0;Single-member constituency;240;;;0;1;;1;;1,2;;0;0;0;;0;;0;
Albania;ALB;1968;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,2;;2;;1;0;Single-member constituency;240;;;0;1;;1;;1,2;;0;0;0;;0;;0;
Albania;ALB;1969;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,2;;2;;1;0;Single-member constituency;240;;;0;1;;1;;1,2;;0;0;0;;0;;0;
Albania;ALB;1970;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,2;;2;;1;0;Single-member constituency;240;;;0;1;;1;;1,2;;0;0;0;;0;;0;
Albania;ALB;1971;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,2;;2;;1;0;Single-member constituency;264;;;0;1;;1;;1,2;;0;0;0;;1;September 1970;0;
Albania;ALB;1972;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,2;;2;;1;0;Single-member constituency;264;;;0;1;;1;;1,2;;0;0;0;;0;;0;
Albania;ALB;1973;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,2;;2;;1;0;Single-member constituency;264;;;0;1;;1;;1,2;;0;0;0;;0;;0;
Albania;ALB;1974;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,2;;2;;1;0;Single-member constituency;264;;;0;1;;1;;1,2;;0;0;0;;0;;0;
Albania;ALB;1975;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;Single-member constituency;250;;;0;1;;1;;1,8;;0;0;0;;1;October 1974;0;
Albania;ALB;1976;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;;250;;;1;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1977;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;;250;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1978;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;;250;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1979;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;;250;;;0;1;;1;;1,8;;0;0;0;;1;November 1978;0;
Albania;ALB;1980;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;;250;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1981;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;;250;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1982;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;;250;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1983;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;;250;;;0;1;;1;;1,8;;0;0;0;;1;November 1982;0;
Albania;ALB;1984;4;Military dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;;250;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1985;3;Civilian dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;;250;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1986;3;Civilian dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;;250;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1987;3;Civilian dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;;250;;;0;1;;1;;1,8;;0;0;0;;1;February 1987;0;
Albania;ALB;1988;3;Civilian dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;;250;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1989;3;Civilian dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;;250;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1990;3;Civilian dictatorship;;0;0;;;;;0;0;;;;;;0;;;1;0;;;0,4;;2;;1;0;;250;;;0;1;;1;;1,8;;0;0;0;;0;;0;
Albania;ALB;1991;3;Civilian dictatorship;;0;0;;;;;0;0;Ramiz Tafë Alia;1991;1924;0;0;0;;;0;0;;;0,6;;2;;1;0;;250;;;1;1;;2;;2,6;;0;1;1;;1;March-April 1991;0;
Albania;ALB;1992;0;Parliamentary democracy;;0;0;;;;;1;0;Sali Berisha;1992;1944;0;0;0;;;0;0;;;0,6;;2;;1;0;;140;;;0;1;;3;;2,6;;1;1;1;;1;March 1992;0;
Albania;ALB;1993;0;Parliamentary democracy;;0;0;;;;;1;0;Sali Berisha;1992;1944;0;0;0;;;0;0;;;0,6;;2;;1;0;Mixed-member SMD/PR;140;;;0;1;;3;;2,6;;1;1;1;;0;;0;
Albania;ALB;1994;0;Parliamentary democracy;;0;0;;;;;1;0;Sali Berisha;1992;1944;0;0;0;;;0;0;;;0,6;;2;;1;0;;140;;;0;1;;3;;2,6;;1;1;1;;0;;0;
Albania;ALB;1995;0;Parliamentary democracy;;0;0;;;;;1;0;Sali Berisha;1992;1944;0;0;0;;;0;0;;;0,6;;2;;1;0;;140;;;0;1;;3;;2,6;;1;1;1;;0;;0;
Albania;ALB;1996;3;Civilian dictatorship;;0;0;;;;;0;0;Sali Berisha;1992;1944;0;0;0;;;0;0;;;0,6;;2;;1;0;;140;;;0;1;;2;;2,6;;0;1;0;;1;May 1996;0;
Albania;ALB;1997;0;Parliamentary democracy;;0;0;;;;;1;0;Rexhep Qemal Meidani;1997;1944;0;0;0;;;0;0;;;0,6;;2;;1;0;Parallel SMD/PR;155;;;0;1;;3;;2,6;;1;1;1;;1;June 1997;0;
Albania;ALB;1998;0;Parliamentary democracy;;0;0;;;;;1;0;Rexhep Qemal Meidani;1997;1944;0;0;0;;;0;0;;;0,6;;2;;1;0;Parallel SMD/PR;155;;;1;1;;3;;2,6;;1;1;1;;0;;0;
Albania;ALB;1999;0;Parliamentary democracy;;0;0;;;;;1;0;Rexhep Qemal Meidani;1997;1944;0;0;0;;;0;0;;;0,6;;2;;1;0;;155;;;0;1;;3;;2,6;;1;1;1;;0;;0;
Albania;ALB;2000;0;Parliamentary democracy;;0;0;;;;;1;0;Rexhep Qemal Meidani;1997;1944;0;0;0;;;0;0;;;0,8;;2;;1;0;;155;;;0;1;;3;;2,8;;1;1;1;;0;;0;
Albania;ALB;2001;0;Parliamentary democracy;;0;0;;;;;1;0;Rexhep Qemal Meidani;1997;1944;0;0;0;;;0;0;;;0,8;;2;;1;0;;155;;;0;1;;3;;2,8;;1;1;1;;1;June 2001;0;
