Israeli-Occupied Territories;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;5;NF;6;5;NF;6;6;NF;6;6;NF;6;6;NF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Kosovo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;6;6;NF;6;6;NF;6;6;NF;5;5;PF;5;5;PF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4;PF
Kurdistan;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;5;PF;4;4;PF;4;4;PF;4;4;PF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;5;5;PF;5;4;PF;5;4;PF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Macao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;4;PF;6;4;PF;6;4;PF;6;4;PF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nagorno-Karabakh;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;7;NF;7;7;NF;6;6;NF;6;6;NF;5;6;NF;5;5;NF;5;6;NF;5;6;NF;5;6;NF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;6;5;NF;6;5;NF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF
Northern Cyprus;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;3;PF;4;3;PF;4;3;PF;3;3;PF;2;3;F;2;3;F;2;3;F;2;2;F;2;2;F;2;2;F;3;3;PF;4;2;PF;4;2;PF;4;2;PF;4;2;PF;4;2;PF;4;2;PF;4;2;PF;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;3;2;F
Northern Ireland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;F;2;2;F;2;2;F;2;2;F;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;-;-;-;-;-;-;-;-;-;-;-;-
Pakistani Kashmir;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;5;NF;7;5;NF;7;5;NF;7;5;NF;7;5;NF;7;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF
Palestinian Authority-Administered Territories;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;6;NF;5;6;NF;5;6;NF;5;6;NF;5;6;NF;5;6;NF;5;6;NF;5;6;NF;5;6;NF;5;5;PF;4;6;PF;5;6;NF;5;6;NF;6;6;NF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Puerto Rico;2;2;F;-;-;-;2;1;F;2;1;F;2;1;F;2;1;F;2;1;F;2;1;F;2;1;F;2;1;F;2;1;F;2;1;F;2;1;F;2;1;F;2;1;F;2;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;2;F;1;2;F;1;2;F;1;2;F;1;1;F;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Somaliland;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;4;PF;5;5;PF;4;5;PF;4;5;PF;4;5;PF;4;5;PF;4;5;PF;5;5;PF;5;5;PF;4;5;PF;4;5;PF;5;5;PF;4;5;PF
South Ossetia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF
Tibet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF
Transnistria;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF
West Bank;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;7;5;NF;7;5;NF;7;5;NF;7;5;NF;7;5;NF
West Bank and Gaza Strip;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;4;PF;5;4;PF;5;4;PF;5;4;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;5;NF;6;5;NF;6;5;NF;-;-;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
West Papua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;PF;5;5;PF;5;4;PF;5;4;PF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Western Sahara;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;4;PF;5;4;PF;6;5;PF;7;5;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF
